Gene stable ID	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID
ENSMUSG00000031740	Mmp2	matrix metallopeptidase 2 [Source:MGI Symbol;Acc:MGI:97009]	17390
ENSMUSG00000031750	Il34	interleukin 34 [Source:MGI Symbol;Acc:MGI:1923777]	76527
ENSMUSG00000031765	Mt1	metallothionein 1 [Source:MGI Symbol;Acc:MGI:97171]	17748
ENSMUSG00000031770	Herpud1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:MGI Symbol;Acc:MGI:1927406]	64209
ENSMUSG00000031778	Cx3cl1	chemokine (C-X3-C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:1097153]	20312
ENSMUSG00000031779	Ccl22	chemokine (C-C motif) ligand 22 [Source:MGI Symbol;Acc:MGI:1306779]	20299
ENSMUSG00000031780	Ccl17	chemokine (C-C motif) ligand 17 [Source:MGI Symbol;Acc:MGI:1329039]	20295
ENSMUSG00000031789	Cngb1	cyclic nucleotide gated channel beta 1 [Source:MGI Symbol;Acc:MGI:2664102]	333329
ENSMUSG00000031799	Tpm4	tropomyosin 4 [Source:MGI Symbol;Acc:MGI:2449202]	326618
ENSMUSG00000031805	Jak3	Janus kinase 3 [Source:MGI Symbol;Acc:MGI:99928]	16453
ENSMUSG00000031825	Crispld2	cysteine-rich secretory protein LCCL domain containing 2 [Source:MGI Symbol;Acc:MGI:1926142]	78892
ENSMUSG00000031827	Cotl1	coactosin-like 1 (Dictyostelium) [Source:MGI Symbol;Acc:MGI:1919292]	72042
ENSMUSG00000031841	Cdh13	cadherin 13 [Source:MGI Symbol;Acc:MGI:99551]	12554
ENSMUSG00000031842	Pde4c	phosphodiesterase 4C, cAMP specific [Source:MGI Symbol;Acc:MGI:99556]	110385
ENSMUSG00000031871	Cdh5	cadherin 5 [Source:MGI Symbol;Acc:MGI:105057]	12562
ENSMUSG00000031875	Cmtm3	CKLF-like MARVEL transmembrane domain containing 3 [Source:MGI Symbol;Acc:MGI:2447162]	68119
ENSMUSG00000031880	Rrad	Ras-related associated with diabetes [Source:MGI Symbol;Acc:MGI:1930943]	56437
ENSMUSG00000031883	Car7	carbonic anhydrase 7 [Source:MGI Symbol;Acc:MGI:103100]	12354
ENSMUSG00000031896	Ctrl	chymotrypsin-like [Source:MGI Symbol;Acc:MGI:88558]	109660
ENSMUSG00000031897	Psmb10	proteasome (prosome, macropain) subunit, beta type 10 [Source:MGI Symbol;Acc:MGI:1096380]	19171
ENSMUSG00000031925	Maml2	mastermind like transcriptional coactivator 2 [Source:MGI Symbol;Acc:MGI:2389460]	270118
ENSMUSG00000031934	Panx1	pannexin 1 [Source:MGI Symbol;Acc:MGI:1860055]	55991
ENSMUSG00000031972	Acta1	actin alpha 1, skeletal muscle [Source:MGI Symbol;Acc:MGI:87902]	11459
ENSMUSG00000031980	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8) [Source:MGI Symbol;Acc:MGI:87963]	11606
ENSMUSG00000031990	Jam3	junction adhesion molecule 3 [Source:MGI Symbol;Acc:MGI:1933825]	83964
ENSMUSG00000031994	Adamts8	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8 [Source:MGI Symbol;Acc:MGI:1353468]	30806
ENSMUSG00000031997	Trpc6	transient receptor potential cation channel, subfamily C, member 6 [Source:MGI Symbol;Acc:MGI:109523]	22068
ENSMUSG00000032000	Birc3	baculoviral IAP repeat-containing 3 [Source:MGI Symbol;Acc:MGI:1197007]	11796
ENSMUSG00000032006	Pdgfd	platelet-derived growth factor, D polypeptide [Source:MGI Symbol;Acc:MGI:1919035]	71785
ENSMUSG00000032010	Usp2	ubiquitin specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1858178]	53376
ENSMUSG00000032011	Thy1	thymus cell antigen 1, theta [Source:MGI Symbol;Acc:MGI:98747]	21838
ENSMUSG00000032014	Oaf	out at first homolog [Source:MGI Symbol;Acc:MGI:94852]	102644
ENSMUSG00000032015	Pou2f3	POU domain, class 2, transcription factor 3 [Source:MGI Symbol;Acc:MGI:102565]	18988
ENSMUSG00000032020	Ubash3b	ubiquitin associated and SH3 domain containing, B [Source:MGI Symbol;Acc:MGI:1920078]	72828
ENSMUSG00000032021	Crtam	cytotoxic and regulatory T cell molecule [Source:MGI Symbol;Acc:MGI:1859822]	54698
ENSMUSG00000032028	Nxpe2	neurexophilin and PC-esterase domain family, member 2 [Source:MGI Symbol;Acc:MGI:1925502]	78252
ENSMUSG00000032035	Ets1	E26 avian leukemia oncogene 1, 5' domain [Source:MGI Symbol;Acc:MGI:95455]	23871
ENSMUSG00000032036	Kirrel3	kirre like nephrin family adhesion molecule 3 [Source:MGI Symbol;Acc:MGI:1914953]	67703
ENSMUSG00000032038	St3gal4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:MGI Symbol;Acc:MGI:1316743]	20443
ENSMUSG00000032053	Pou2af1	POU domain, class 2, associating factor 1 [Source:MGI Symbol;Acc:MGI:105086]	18985
ENSMUSG00000032060	Cryab	crystallin, alpha B [Source:MGI Symbol;Acc:MGI:88516]	12955
ENSMUSG00000032068	Plet1	placenta expressed transcript 1 [Source:MGI Symbol;Acc:MGI:1923759]	76509
ENSMUSG00000032076	Cadm1	cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:1889272]	54725
ENSMUSG00000032083	Apoa1	apolipoprotein A-I [Source:MGI Symbol;Acc:MGI:88049]	11806
ENSMUSG00000032085	Tagln	transgelin [Source:MGI Symbol;Acc:MGI:106012]	21345
ENSMUSG00000032087	Dscaml1	DS cell adhesion molecule like 1 [Source:MGI Symbol;Acc:MGI:2150309]	114873
ENSMUSG00000032089	Il10ra	interleukin 10 receptor, alpha [Source:MGI Symbol;Acc:MGI:96538]	16154
ENSMUSG00000032093	Cd3e	CD3 antigen, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:88332]	12501
ENSMUSG00000032094	Cd3d	CD3 antigen, delta polypeptide [Source:MGI Symbol;Acc:MGI:88331]	12500
ENSMUSG00000032122	Slc37a2	solute carrier family 37 (glycerol-3-phosphate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1929693]	56857
ENSMUSG00000032125	Robo4	roundabout guidance receptor 4 [Source:MGI Symbol;Acc:MGI:1921394]	74144
ENSMUSG00000032135	Mcam	melanoma cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1933966]	84004
ENSMUSG00000032174	Icam5	intercellular adhesion molecule 5, telencephalin [Source:MGI Symbol;Acc:MGI:109430]	15898
ENSMUSG00000032179	Bmp5	bone morphogenetic protein 5 [Source:MGI Symbol;Acc:MGI:88181]	12160
ENSMUSG00000032198	Dock6	dedicator of cytokinesis 6 [Source:MGI Symbol;Acc:MGI:1914789]	319899
ENSMUSG00000032204	Aqp9	aquaporin 9 [Source:MGI Symbol;Acc:MGI:1891066]	64008
ENSMUSG00000032218	Ccnb2	cyclin B2 [Source:MGI Symbol;Acc:MGI:88311]	12442
ENSMUSG00000032220	Myo1e	myosin IE [Source:MGI Symbol;Acc:MGI:106621]	71602
ENSMUSG00000032231	Anxa2	annexin A2 [Source:MGI Symbol;Acc:MGI:88246]	12306
ENSMUSG00000032238	Rora	RAR-related orphan receptor alpha [Source:MGI Symbol;Acc:MGI:104661]	19883
ENSMUSG00000032254	Kif23	kinesin family member 23 [Source:MGI Symbol;Acc:MGI:1919069]	71819
ENSMUSG00000032268	Tmprss5	transmembrane protease, serine 5 (spinesin) [Source:MGI Symbol;Acc:MGI:1933407]	80893
ENSMUSG00000032271	Nnmt	nicotinamide N-methyltransferase [Source:MGI Symbol;Acc:MGI:1099443]	18113
ENSMUSG00000032281	Acsbg1	acyl-CoA synthetase bubblegum family member 1 [Source:MGI Symbol;Acc:MGI:2385656]	94180
ENSMUSG00000032289	Thsd4	thrombospondin, type I, domain containing 4 [Source:MGI Symbol;Acc:MGI:2672033]	207596
ENSMUSG00000032298	Neil1	nei endonuclease VIII-like 1 (E. coli) [Source:MGI Symbol;Acc:MGI:1920024]	72774
ENSMUSG00000032310	Cyp1a2	cytochrome P450, family 1, subfamily a, polypeptide 2 [Source:MGI Symbol;Acc:MGI:88589]	13077
ENSMUSG00000032312	Csk	c-src tyrosine kinase [Source:MGI Symbol;Acc:MGI:88537]	12988
ENSMUSG00000032322	Pstpip1	proline-serine-threonine phosphatase-interacting protein 1 [Source:MGI Symbol;Acc:MGI:1321396]	19200
ENSMUSG00000032332	Col12a1	collagen, type XII, alpha 1 [Source:MGI Symbol;Acc:MGI:88448]	12816
ENSMUSG00000032334	Loxl1	lysyl oxidase-like 1 [Source:MGI Symbol;Acc:MGI:106096]	16949
ENSMUSG00000032343	Impg1	interphotoreceptor matrix proteoglycan 1 [Source:MGI Symbol;Acc:MGI:1926876]	63859
ENSMUSG00000032355	Mlip	muscular LMNA-interacting protein [Source:MGI Symbol;Acc:MGI:1916892]	69642
ENSMUSG00000032359	Ctsh	cathepsin H [Source:MGI Symbol;Acc:MGI:107285]	13036
ENSMUSG00000032363	Adamts7	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7 [Source:MGI Symbol;Acc:MGI:1347346]	108153
ENSMUSG00000032366	Tpm1	tropomyosin 1, alpha [Source:MGI Symbol;Acc:MGI:98809]	22003
ENSMUSG00000032373	Car12	carbonic anhydrase 12 [Source:MGI Symbol;Acc:MGI:1923709]	76459
ENSMUSG00000032374	Plod2	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:MGI Symbol;Acc:MGI:1347007]	26432
ENSMUSG00000032387	Rbpms2	RNA binding protein with multiple splicing 2 [Source:MGI Symbol;Acc:MGI:1919223]	71973
ENSMUSG00000032402	Smad3	SMAD family member 3 [Source:MGI Symbol;Acc:MGI:1201674]	17127
ENSMUSG00000032420	Nt5e	5' nucleotidase, ecto [Source:MGI Symbol;Acc:MGI:99782]	23959
ENSMUSG00000032436	Cmtm7	CKLF-like MARVEL transmembrane domain containing 7 [Source:MGI Symbol;Acc:MGI:2447166]	102545
ENSMUSG00000032440	Tgfbr2	transforming growth factor, beta receptor II [Source:MGI Symbol;Acc:MGI:98729]	21813
ENSMUSG00000032446	Eomes	eomesodermin [Source:MGI Symbol;Acc:MGI:1201683]	13813
ENSMUSG00000032454	Rbp2	retinol binding protein 2, cellular [Source:MGI Symbol;Acc:MGI:97877]	19660
ENSMUSG00000032473	Cldn18	claudin 18 [Source:MGI Symbol;Acc:MGI:1929209]	56492
ENSMUSG00000032487	Ptgs2	prostaglandin-endoperoxide synthase 2 [Source:MGI Symbol;Acc:MGI:97798]	19225
ENSMUSG00000032492	Pth1r	parathyroid hormone 1 receptor [Source:MGI Symbol;Acc:MGI:97801]	19228
ENSMUSG00000032496	Ltf	lactotransferrin [Source:MGI Symbol;Acc:MGI:96837]	17002
ENSMUSG00000032502	Stac	src homology three (SH3) and cysteine rich domain [Source:MGI Symbol;Acc:MGI:1201400]	20840
ENSMUSG00000032503	Arpp21	cyclic AMP-regulated phosphoprotein, 21 [Source:MGI Symbol;Acc:MGI:107562]	74100
ENSMUSG00000032515	Csrnp1	cysteine-serine-rich nuclear protein 1 [Source:MGI Symbol;Acc:MGI:2387989]	215418
ENSMUSG00000032532	Cck	cholecystokinin [Source:MGI Symbol;Acc:MGI:88297]	12424
ENSMUSG00000032537	Ephb1	Eph receptor B1 [Source:MGI Symbol;Acc:MGI:1096337]	270190
ENSMUSG00000032548	Slco2a1	solute carrier organic anion transporter family, member 2a1 [Source:MGI Symbol;Acc:MGI:1346021]	24059
ENSMUSG00000032554	Trf	transferrin [Source:MGI Symbol;Acc:MGI:98821]	22041
ENSMUSG00000032556	Bfsp2	beaded filament structural protein 2, phakinin [Source:MGI Symbol;Acc:MGI:1333828]	107993
ENSMUSG00000032562	Gnai2	guanine nucleotide binding protein (G protein), alpha inhibiting 2 [Source:MGI Symbol;Acc:MGI:95772]	14678
ENSMUSG00000032564	Cpne4	copine IV [Source:MGI Symbol;Acc:MGI:1921270]	74020
ENSMUSG00000032575	Manf	mesencephalic astrocyte-derived neurotrophic factor [Source:MGI Symbol;Acc:MGI:1922090]	74840
ENSMUSG00000032578	Cish	cytokine inducible SH2-containing protein [Source:MGI Symbol;Acc:MGI:103159]	12700
ENSMUSG00000032596	Uba7	ubiquitin-like modifier activating enzyme 7 [Source:MGI Symbol;Acc:MGI:1349462]	74153
ENSMUSG00000032609	Klhdc8b	kelch domain containing 8B [Source:MGI Symbol;Acc:MGI:1925517]	78267
ENSMUSG00000032625	Thsd7a	thrombospondin, type I, domain containing 7A [Source:MGI Symbol;Acc:MGI:2685683]	330267
ENSMUSG00000032640	Chsy1	chondroitin sulfate synthase 1 [Source:MGI Symbol;Acc:MGI:2681120]	269941
ENSMUSG00000032648	Pygm	muscle glycogen phosphorylase [Source:MGI Symbol;Acc:MGI:97830]	19309
ENSMUSG00000032661	Oas3	2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850]	246727
ENSMUSG00000032688	Malt1	MALT1 paracaspase [Source:MGI Symbol;Acc:MGI:2445027]	240354
ENSMUSG00000032691	Nlrp3	NLR family, pyrin domain containing 3 [Source:MGI Symbol;Acc:MGI:2653833]	216799
ENSMUSG00000032698	Lmo2	LIM domain only 2 [Source:MGI Symbol;Acc:MGI:102811]	16909
ENSMUSG00000032714	Syde1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans) [Source:MGI Symbol;Acc:MGI:1918959]	71709
ENSMUSG00000032717	Mdfi	MyoD family inhibitor [Source:MGI Symbol;Acc:MGI:107687]	17240
ENSMUSG00000032719	Sbspon	somatomedin B and thrombospondin, type 1 domain containing [Source:MGI Symbol;Acc:MGI:2684952]	226866
ENSMUSG00000032724	Abtb2	ankyrin repeat and BTB (POZ) domain containing 2 [Source:MGI Symbol;Acc:MGI:2139365]	99382
ENSMUSG00000032725	Folr2	folate receptor 2 (fetal) [Source:MGI Symbol;Acc:MGI:95569]	14276
ENSMUSG00000032744	Heyl	hairy/enhancer-of-split related with YRPW motif-like [Source:MGI Symbol;Acc:MGI:1860511]	56198
ENSMUSG00000032754	Slc8b1	solute carrier family 8 (sodium/lithium/calcium exchanger), member B1 [Source:MGI Symbol;Acc:MGI:2180781]	170756
ENSMUSG00000032766	Gng11	guanine nucleotide binding protein (G protein), gamma 11 [Source:MGI Symbol;Acc:MGI:1913316]	66066
ENSMUSG00000032776	Mctp2	multiple C2 domains, transmembrane 2 [Source:MGI Symbol;Acc:MGI:2685335]	244049
ENSMUSG00000032802	Srxn1	sulfiredoxin 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:104971]	76650
ENSMUSG00000032818	Loxhd1	lipoxygenase homology domains 1 [Source:MGI Symbol;Acc:MGI:1914609]	240411
ENSMUSG00000032827	Ppp1r9a	protein phosphatase 1, regulatory subunit 9A [Source:MGI Symbol;Acc:MGI:2442401]	243725
ENSMUSG00000032841	Prr5l	proline rich 5 like [Source:MGI Symbol;Acc:MGI:1919696]	72446
ENSMUSG00000032845	Alpk2	alpha-kinase 2 [Source:MGI Symbol;Acc:MGI:2449492]	225638
ENSMUSG00000032846	Zswim6	zinc finger SWIM-type containing 6 [Source:MGI Symbol;Acc:MGI:1914513]	67263
ENSMUSG00000032860	P2ry2	purinergic receptor P2Y, G-protein coupled 2 [Source:MGI Symbol;Acc:MGI:105107]	18442
ENSMUSG00000032911	Cspg4	chondroitin sulfate proteoglycan 4 [Source:MGI Symbol;Acc:MGI:2153093]	121021
ENSMUSG00000032925	Itgbl1	integrin, beta-like 1 [Source:MGI Symbol;Acc:MGI:2443439]	223272
ENSMUSG00000032946	Rasgrp2	RAS, guanyl releasing protein 2 [Source:MGI Symbol;Acc:MGI:1333849]	19395
ENSMUSG00000032978	Guca2b	guanylate cyclase activator 2b (retina) [Source:MGI Symbol;Acc:MGI:1270851]	14916
ENSMUSG00000033006	Sox10	SRY (sex determining region Y)-box 10 [Source:MGI Symbol;Acc:MGI:98358]	20665
ENSMUSG00000033016	Nfatc1	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1 [Source:MGI Symbol;Acc:MGI:102469]	18018
ENSMUSG00000033032	Afap1l1	actin filament associated protein 1-like 1 [Source:MGI Symbol;Acc:MGI:2147199]	106877
ENSMUSG00000033033	Calhm2	calcium homeostasis modulator family member 2 [Source:MGI Symbol;Acc:MGI:1919941]	72691
ENSMUSG00000033061	Resp18	regulated endocrine-specific protein 18 [Source:MGI Symbol;Acc:MGI:1098222]	19711
ENSMUSG00000033066	Gas7	growth arrest specific 7 [Source:MGI Symbol;Acc:MGI:1202388]	14457
ENSMUSG00000033082	Clec1a	C-type lectin domain family 1, member a [Source:MGI Symbol;Acc:MGI:2444151]	243653
ENSMUSG00000033083	Tbc1d4	TBC1 domain family, member 4 [Source:MGI Symbol;Acc:MGI:2429660]	210789
ENSMUSG00000033107	Rnf125	ring finger protein 125 [Source:MGI Symbol;Acc:MGI:1914914]	67664
ENSMUSG00000033174	Mgll	monoglyceride lipase [Source:MGI Symbol;Acc:MGI:1346042]	23945
ENSMUSG00000033191	Tie1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1 [Source:MGI Symbol;Acc:MGI:99906]	21846
ENSMUSG00000033192	Lpcat2	lysophosphatidylcholine acyltransferase 2 [Source:MGI Symbol;Acc:MGI:3606214]	270084
ENSMUSG00000033208	S100b	S100 protein, beta polypeptide, neural [Source:MGI Symbol;Acc:MGI:98217]	20203
ENSMUSG00000033209	Ttc28	tetratricopeptide repeat domain 28 [Source:MGI Symbol;Acc:MGI:2140873]	209683
ENSMUSG00000033213	AA467197	expressed sequence AA467197 [Source:MGI Symbol;Acc:MGI:3034182]	433470
ENSMUSG00000033220	Rac2	Rac family small GTPase 2 [Source:MGI Symbol;Acc:MGI:97846]	19354
ENSMUSG00000033227	Wnt6	wingless-type MMTV integration site family, member 6 [Source:MGI Symbol;Acc:MGI:98960]	22420
ENSMUSG00000033278	Ptprm	protein tyrosine phosphatase, receptor type, M [Source:MGI Symbol;Acc:MGI:102694]	19274
ENSMUSG00000033287	Kctd17	potassium channel tetramerisation domain containing 17 [Source:MGI Symbol;Acc:MGI:1920094]	72844
ENSMUSG00000033306	Lpp	LIM domain containing preferred translocation partner in lipoma [Source:MGI Symbol;Acc:MGI:2441849]	210126
ENSMUSG00000033308	Dpyd	dihydropyrimidine dehydrogenase [Source:MGI Symbol;Acc:MGI:2139667]	99586
ENSMUSG00000033350	Chst2	carbohydrate sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1891160]	54371
ENSMUSG00000033361	Prrg3	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane) [Source:MGI Symbol;Acc:MGI:2685214]	208748
ENSMUSG00000033377	Palmd	palmdelphin [Source:MGI Symbol;Acc:MGI:2148896]	114301
ENSMUSG00000033420	Antxr1	anthrax toxin receptor 1 [Source:MGI Symbol;Acc:MGI:1916788]	69538
ENSMUSG00000033446	Lpar6	lysophosphatidic acid receptor 6 [Source:MGI Symbol;Acc:MGI:1914418]	67168
ENSMUSG00000033453	Adamts15	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15 [Source:MGI Symbol;Acc:MGI:2449569]	235130
ENSMUSG00000033491	Prss35	protease, serine 35 [Source:MGI Symbol;Acc:MGI:2444800]	244954
ENSMUSG00000033502	Cdc14a	CDC14 cell division cycle 14A [Source:MGI Symbol;Acc:MGI:2442676]	229776
ENSMUSG00000033508	Asprv1	aspartic peptidase, retroviral-like 1 [Source:MGI Symbol;Acc:MGI:1915105]	67855
ENSMUSG00000033554	Dph5	diphthamide biosynthesis 5 [Source:MGI Symbol;Acc:MGI:1916990]	69740
ENSMUSG00000033685	Ucp2	uncoupling protein 2 (mitochondrial, proton carrier) [Source:MGI Symbol;Acc:MGI:109354]	22228
ENSMUSG00000033721	Vav3	vav 3 oncogene [Source:MGI Symbol;Acc:MGI:1888518]	57257
ENSMUSG00000033730	Egr3	early growth response 3 [Source:MGI Symbol;Acc:MGI:1306780]	13655
ENSMUSG00000033740	St18	suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700]	240690
ENSMUSG00000033752	Mnd1	meiotic nuclear divisions 1 [Source:MGI Symbol;Acc:MGI:1924165]	76915
ENSMUSG00000033769	Exoc6b	exocyst complex component 6B [Source:MGI Symbol;Acc:MGI:1923164]	75914
ENSMUSG00000033788	Dysf	dysferlin [Source:MGI Symbol;Acc:MGI:1349385]	26903
ENSMUSG00000033826	Dnah8	dynein, axonemal, heavy chain 8 [Source:MGI Symbol;Acc:MGI:107714]	13417
ENSMUSG00000033831	Fgb	fibrinogen beta chain [Source:MGI Symbol;Acc:MGI:99501]	110135
ENSMUSG00000033860	Fgg	fibrinogen gamma chain [Source:MGI Symbol;Acc:MGI:95526]	99571
ENSMUSG00000033885	Pxk	PX domain containing serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1289230]	218699
ENSMUSG00000033952	Aspm	abnormal spindle microtubule assembly [Source:MGI Symbol;Acc:MGI:1334448]	12316
ENSMUSG00000033981	Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2) [Source:MGI Symbol;Acc:MGI:95809]	14800
ENSMUSG00000033987	Dnah17	dynein, axonemal, heavy chain 17 [Source:MGI Symbol;Acc:MGI:1917176]	69926
ENSMUSG00000034028	Cd226	CD226 antigen [Source:MGI Symbol;Acc:MGI:3039602]	225825
ENSMUSG00000034037	Fgd5	FYVE, RhoGEF and PH domain containing 5 [Source:MGI Symbol;Acc:MGI:2443369]	232237
ENSMUSG00000034041	Lyl1	lymphoblastomic leukemia 1 [Source:MGI Symbol;Acc:MGI:96891]	17095
ENSMUSG00000034098	Fstl5	follistatin-like 5 [Source:MGI Symbol;Acc:MGI:2442179]	213262
ENSMUSG00000034116	Vav1	vav 1 oncogene [Source:MGI Symbol;Acc:MGI:98923]	22324
ENSMUSG00000034127	Tspan8	tetraspanin 8 [Source:MGI Symbol;Acc:MGI:2384918]	216350
ENSMUSG00000034135	Sik3	SIK family kinase 3 [Source:MGI Symbol;Acc:MGI:2446296]	70661
ENSMUSG00000034139	Serpini2	serine (or cysteine) peptidase inhibitor, clade I, member 2 [Source:MGI Symbol;Acc:MGI:1915181]	67931
ENSMUSG00000034164	Emid1	EMI domain containing 1 [Source:MGI Symbol;Acc:MGI:2155091]	140703
ENSMUSG00000034209	Rasl10a	RAS-like, family 10, member A [Source:MGI Symbol;Acc:MGI:1922918]	75668
ENSMUSG00000034258	Flvcr2	feline leukemia virus subgroup C cellular receptor 2 [Source:MGI Symbol;Acc:MGI:2384974]	217721
ENSMUSG00000034265	Zdhhc14	zinc finger, DHHC domain containing 14 [Source:MGI Symbol;Acc:MGI:2653229]	224454
ENSMUSG00000034266	Batf	basic leucine zipper transcription factor, ATF-like [Source:MGI Symbol;Acc:MGI:1859147]	53314
ENSMUSG00000034271	Jdp2	Jun dimerization protein 2 [Source:MGI Symbol;Acc:MGI:1932093]	81703
ENSMUSG00000034290	Nek9	NIMA (never in mitosis gene a)-related expressed kinase 9 [Source:MGI Symbol;Acc:MGI:2387995]	217718
ENSMUSG00000034310	Tmem132d	transmembrane protein 132D [Source:MGI Symbol;Acc:MGI:3044963]	243274
ENSMUSG00000034317	Trim59	tripartite motif-containing 59 [Source:MGI Symbol;Acc:MGI:1914199]	66949
ENSMUSG00000034324	Tmem132c	transmembrane protein 132C [Source:MGI Symbol;Acc:MGI:2443061]	208213
ENSMUSG00000034330	Plcg2	phospholipase C, gamma 2 [Source:MGI Symbol;Acc:MGI:97616]	234779
ENSMUSG00000034349	Smc4	structural maintenance of chromosomes 4 [Source:MGI Symbol;Acc:MGI:1917349]	70099
ENSMUSG00000034353	Ramp1	receptor (calcitonin) activity modifying protein 1 [Source:MGI Symbol;Acc:MGI:1858418]	51801
ENSMUSG00000034361	Cpne2	copine II [Source:MGI Symbol;Acc:MGI:2387578]	234577
ENSMUSG00000034387	Ssu2	ssu-2 homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:2443733]	243612
ENSMUSG00000034394	Lif	leukemia inhibitory factor [Source:MGI Symbol;Acc:MGI:96787]	16878
ENSMUSG00000034422	Parp14	poly (ADP-ribose) polymerase family, member 14 [Source:MGI Symbol;Acc:MGI:1919489]	547253
ENSMUSG00000034463	Scara3	scavenger receptor class A, member 3 [Source:MGI Symbol;Acc:MGI:2444418]	219151
ENSMUSG00000034485	Uaca	uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:MGI Symbol;Acc:MGI:1919815]	72565
ENSMUSG00000034488	Edil3	EGF-like repeats and discoidin I-like domains 3 [Source:MGI Symbol;Acc:MGI:1329025]	13612
ENSMUSG00000034520	Gjc1	gap junction protein, gamma 1 [Source:MGI Symbol;Acc:MGI:95718]	14615
ENSMUSG00000034528	Hsd17b13	hydroxysteroid (17-beta) dehydrogenase 13 [Source:MGI Symbol;Acc:MGI:2140804]	243168
ENSMUSG00000034614	Pik3ip1	phosphoinositide-3-kinase interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917016]	216505
ENSMUSG00000034640	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase [Source:MGI Symbol;Acc:MGI:2159210]	99929
ENSMUSG00000034656	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit [Source:MGI Symbol;Acc:MGI:109482]	12286
ENSMUSG00000034663	Bmp2k	BMP2 inducible kinase [Source:MGI Symbol;Acc:MGI:2155456]	140780
ENSMUSG00000034664	Itga2b	integrin alpha 2b [Source:MGI Symbol;Acc:MGI:96601]	16399
ENSMUSG00000034684	Sema3f	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:MGI Symbol;Acc:MGI:1096347]	20350
ENSMUSG00000034708	Grn	granulin [Source:MGI Symbol;Acc:MGI:95832]	14824
ENSMUSG00000034731	Dgkh	diacylglycerol kinase, eta [Source:MGI Symbol;Acc:MGI:2444188]	380921
ENSMUSG00000034765	Dusp5	dual specificity phosphatase 5 [Source:MGI Symbol;Acc:MGI:2685183]	240672
ENSMUSG00000034783	Cd207	CD207 antigen [Source:MGI Symbol;Acc:MGI:2180021]	246278
ENSMUSG00000034792	Gna15	guanine nucleotide binding protein, alpha 15 [Source:MGI Symbol;Acc:MGI:95770]	14676
ENSMUSG00000034810	Scn7a	sodium channel, voltage-gated, type VII, alpha [Source:MGI Symbol;Acc:MGI:102965]	20272
ENSMUSG00000034833	Tespa1	thymocyte expressed, positive selection associated 1 [Source:MGI Symbol;Acc:MGI:1914846]	67596
ENSMUSG00000034837	Gnat1	G protein subunit alpha transducin 1 [Source:MGI Symbol;Acc:MGI:95778]	14685
ENSMUSG00000034839	Larp6	La ribonucleoprotein 6, translational regulator [Source:MGI Symbol;Acc:MGI:1914807]	67557
ENSMUSG00000034842	Art3	ADP-ribosyltransferase 3 [Source:MGI Symbol;Acc:MGI:1202729]	109979
ENSMUSG00000034845	Plvap	plasmalemma vesicle associated protein [Source:MGI Symbol;Acc:MGI:1890497]	84094
ENSMUSG00000034855	Cxcl10	chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]	15945
ENSMUSG00000034868	Myl12b	myosin, light chain 12B, regulatory [Source:MGI Symbol;Acc:MGI:107494]	67938
ENSMUSG00000034871	Fam151a	family with sequence simliarity 151, member A [Source:MGI Symbol;Acc:MGI:2657115]	230579
ENSMUSG00000034872	Gipc3	GIPC PDZ domain containing family, member 3 [Source:MGI Symbol;Acc:MGI:2387006]	209047
ENSMUSG00000034881	Tbxa2r	thromboxane A2 receptor [Source:MGI Symbol;Acc:MGI:98496]	21390
